ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
13 Sep 2024 14:12:31.752,30567.09203416785,70369.75210210076,147647541.4507426,-22367504.64402828,-9667719.429153163,147652583.7959123,-22364714.35757755,-9664106.019869354,-969735.4798063934,-621062.0704977326,-238097.4465457071,0,0,0
13 Sep 2024 14:14:03.404,30567.09309495922,70461.4044766291,147647980.5566078,-22365597.99543167,-9666228.123214148,147652969.3091988,-22362251.18513192,-9663038.321703725,-969734.4358879626,-621062.7648601905,-238097.764378652,0,0,0
13 Sep 2024 14:15:35.028,30567.09415541131,70553.02753723226,147648472.4769054,-22363656.39210654,-9664703.304668264,147653354.6506989,-22359788.79363365,-9661970.962079156,-969733.3923025727,-621063.458999116,-238098.0821093284,0,0,0
13 Sep 2024 14:17:06.622,30567.09521553638,70644.62234380189,147649016.0640859,-22361674.29285764,-9663149.84300446,147653739.8249159,-22357327.15460516,-9660903.928651603,-969732.3490381837,-621064.1529225484,-238098.3997414149,0,0,0
13 Sep 2024 14:18:38.192,30567.09627536832,70736.19182298426,147649609.6331708,-22359646.5554635,-9661572.881505143,147654124.8441994,-22354866.18939872,-9659837.187330026,-969731.3060613871,-621064.8466526531,-238098.717285065,0,0,0
13 Sep 2024 14:20:09.738,30567.09733492944,70827.73790345527,147650250.9634777,-22357568.55166927,-9659977.830457874,147654509.7166972,-22352405.84618668,-9658770.715648958,-969730.2633502483,-621065.5402040407,-238099.0347469598,0,0,0
13 Sep 2024 14:21:41.265,30567.09839426872,70919.26481723785,147650937.3448679,-22355436.14084876,-9658370.252391938,147654894.4602351,-22349946.01123703,-9657704.464309571,-969729.2208565474,-621066.2336087786,-238099.3521417808,0,0,0
13 Sep 2024 14:23:12.776,30567.09945343155,71010.77648643404,147651665.5904769,-22353245.76911917,-9656755.847581141,147655279.0913272,-22347486.5791458,-9656638.387622973,-969728.17853567,-621066.9268965758,-238099.6694831308,0,0,0
13 Sep 2024 14:24:44.278,30567.10051247721,71102.27803133894,147652432.0824467,-22350994.46898772,-9655140.36715688,147655663.6315146,-22345027.41230559,-9655572.425941203,-969727.1363292933,-621067.6201062314,-238099.9867887609,0,0,0
13 Sep 2024 14:26:15.774,30567.10157145492,71193.7737053493,147653232.7939453,-22348679.93783997,-9653529.588544872,147656048.098685,-22342568.39640601,-9654506.529714754,-969726.094188869,-621068.3132699691,-238100.3040734213,0,0,0
